Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
536,38928832,34672640,101.5,1077430116.58
537,39055424,34676736,101.2,1073937796.71
538,38920572,34676736,101.5,1077658776.44
539,39198572,34676736,100.8,1070015917.93
540,39066573,34676736,101.0,1073631311.35
541,38974258,34676736,101.4,1076174330.25
542,39016072,34676736,76.0,1075020981.10
543,38936573,34676736,101.5,1077215912.15
544,38988925,34676736,101.4,1075769490.95
545,39009517,34676736,101.3,1075201623.23
546,38883092,34676736,126.9,1078697548.02
547,38992702,34676736,101.4,1075665287.31
548,38958091,34676736,101.4,1076620925.80
549,39114794,34676736,101.0,1072307730.93
550,39163386,34676736,100.9,1070977264.33
551,38960277,34676736,101.4,1076560518.29
552,39181849,34676736,100.9,1070472605.82
553,39134738,34676736,75.7,1071761257.22
554,39198442,34676736,100.8,1070019466.59
555,39253867,34676736,100.7,1068508638.91
556,39059868,34676736,101.2,1073815610.44
557,39088405,34676736,101.0,1073031657.34
558,38958628,34676736,101.5,1076606085.82
559,38949258,34676736,101.5,1076865084.31
560,39063905,34676736,101.2,1073704638.59
561,39115442,34676736,101.0,1072289966.71
562,39024406,34676736,101.3,1074791401.05
563,38985517,34676736,101.4,1075863531.58
564,39168535,34676736,100.9,1070836476.27
565,39040499,34676736,101.1,1074348358.10
566,39091128,34676736,101.1,1072956912.37
567,39174608,34676736,100.9,1070670471.04
568,38956017,34676736,101.5,1076678244.60
569,38980091,34676736,101.4,1076013290.99
570,39154220,34676736,100.9,1071227980.02
571,39013184,34676736,101.3,1075100560.88
572,39029110,34676736,101.3,1074661861.36
573,38948184,34680832,101.5,1076894778.97
574,38980573,34680832,76.0,1075999985.94
575,39090738,34680832,101.1,1072967617.04
576,39044535,34680832,101.2,1074237303.63
577,39149479,34680832,101.0,1071357705.68
578,39229941,34680832,100.8,1069160313.04
579,39174386,34680832,100.9,1070676538.49
580,39334238,34684928,100.5,1066325372.82
581,39371681,34684928,100.4,1065311283.00
582,39194423,34684928,100.9,1070129186.49
583,38929091,34684928,101.5,1077422948.30
584,38940092,34684928,101.4,1077118564.59
585,38944110,34684928,101.5,1077007434.50
